source	target	value
U of Amazonia (Unama)	FEDERAL UNIVERSITY OF MINAS GERAIS	1
U of Maryland	U of Maryland - College Park	5
U of Maryland	UMass Boston	1
U of Maryland	George Washington U	6
U of Maryland	George Mason U	1
U of Maryland	U of Memphis	2
U of Maryland	Johns Hopkins U	2
U of Maryland	Texas Christian U	1
U of Maryland	Kookmin U	1
U of Maryland	Temple U	2
U of Maryland	U of Maryland	88
U of Maryland	West Virginia U	4
U of Maryland	Purdue U	3
U of Maryland	Denver Health	2
U of Maryland	U of Georgia	1
U of Maryland	U of Washington	1
U of Maryland	Georgetown U	1
U of Maryland	Virginia Commonwealth U	2
U of Maryland	U of Oklahoma	4
Passau U	Passau U	2
Passau U	U of Passau	2
U of the Philippines	Agency for Science Technology and Research	3
U of the Philippines	U of Leicester	2
U of the Philippines	U of the Philippines	3
U of Wisconsin	U of Wisconsin-Madison	4
U of Wisconsin	U of Wisconsin	3
U of Wisconsin	U of Wisconsin_Madison	1
U of Wisconsin	Penn State U	1
U of Wisconsin	Hongik U	1
California State U	California State U	1
DePaul U	Arizona State U	1
DePaul U	U of Texas-Pan American	1
DePaul U	U of Wisconsin-Whitewater	1
DePaul U	North Carolina State U	2
DePaul U	Central Connecticut State U	1
DePaul U	U of Cincinnati	1
DePaul U	Purdue U	1
DePaul U	DePaul U	33
DePaul U	National U of Singapore	1
DePaul U	Ohio	1
DePaul U	Governors State U	6
DePaul U	U of Alabama	1
U of Virginia	U of Virginia	10
U of Virginia	U of Fribourg	1
Bar-Ilan U.	Bar-Ilan U.	1
Bar-Ilan U.	Bar-Ilan U	1
U of Zagreb	Catholic U of Milan	3
U of Zagreb	U Milano Bicocca	3
U of Zagreb	U of Zagreb	9
U of Zagreb	U degli Studi di Bergamo	3
U of Zagreb	Universita' Cattolica del Sacro Cuore	3
Centre for Media Communication and Information Research U of Bremen	Centre for Media Communication and Information Research U of Bremen	1
Centre for Media Communication and Information Research U of Bremen	U of Bremen Centre for Media Communication and Information Research (ZeMKI)	1
U of Pittsburgh	Stanford Prevention Research Center	2
U of Pittsburgh	U of Illinois	2
U of Pittsburgh	Cornell U	2
U of Pittsburgh	U of Pittsburgh	9
Saint Vincent College	U of California Riverside	1
Saint Vincent College	Saint Vincent College	1
Saint Vincent College	U of California - Riverside	1
U de Costa Rica	U de Costa Rica	1
U de Costa Rica	U de Manizales	1
U Nacional de la Matanza	U Nacional de la Matanza	1
U Nacional de la Matanza	U Iberoamericana	1
U Nacional de la Matanza	Instituto de Altos Estudios Nacionales	1
U Nacional de la Matanza	U de la Habana	2
U Nacional de la Matanza	U Federal de Santa Catarina	1
U Nacional de la Matanza	U of Santiago	1
Western Illinois U	Michigan State U	5
Western Illinois U	George Washington U	1
Western Illinois U	Western Illinois U	1
The Communications School College of Administration	Communication School	1
The Communications School College of Administration	The Communications School College of Administration	1
U of Twente	U of Twente	30
U of Twente	Radboud U Nijmegen	2
U of Twente	Behavioural Science Institute / Radboud U Nijmegen	1
U of Twente	U of Twente / GW / CW	2
Rikkyo U	Rikkyo U	1
Taskstream	Creighton U	1
Taskstream	Taskstream	1
U of Amsterdam	Amsterdam School of Communication Research	7
U of Amsterdam	Utrecht U/ Tilburg U	1
U of Amsterdam	Rutgers WPF	1
U of Amsterdam	U of Wisconsin-Milwaukee	1
U of Amsterdam	Radboud U	4
U of Amsterdam	VU U Amsterdam	12
U of Amsterdam	Aarhus U	1
U of Amsterdam	U of Amsterdam ASCOR	1
U of Amsterdam	U of Haifa	1
U of Amsterdam	Leiden U	3
U of Amsterdam	U of Vienna	10
U of Amsterdam	U of Maastricht	2
U of Amsterdam	Erasmus U Rotterdam	2
U of Amsterdam	ASCoR / U of Amsterdam	5
U of Amsterdam	Instituto de Estudios Peruanos	2
U of Amsterdam	Comenius U Bratislava	1
U of Amsterdam	Stanford U	1
U of Amsterdam	U of Barcelona	1
U of Amsterdam	U of Geneva	2
U of Amsterdam	U of North Carolina - Chapel Hill	1
U of Amsterdam	U of Koblenz-Landau	2
U of Amsterdam	Rutgers U	1
U of Amsterdam	U of Amsterdam / ASCoR	3
U of Amsterdam	ASCoR - U of Amsterdam	5
U of Amsterdam	Nanyang Technological U	2
U of Amsterdam	Amsterdam School of Communication Research/ U of Amsterdam	4
U of Amsterdam	Utrecht U	3
U of Amsterdam	ASCoR U of Amsterdam	37
U of Amsterdam	Netherlands Youth Institute/Erasmus U Rotterdam	1
U of Amsterdam	U of Mainz	1
U of Amsterdam	U of Texas - Austin	1
U of Amsterdam	VU U -  Amsterdam	2
U of Amsterdam	U of Antwerp	1
U of Amsterdam	U of Southampton	1
U of Amsterdam	U of Amsterdam	310
U of Amsterdam	Radboud U Nijmegen	10
U of Amsterdam	U of California - Santa Barbara	1
U of Amsterdam	Trimbos Institute Netherlands Institute for Mental Health and Addiction	2
U of Amsterdam	U of Mannheim	1
U of Amsterdam	U of Zurich	2
U of North Texas	U of North Texas	4
U of North Texas	U of Illinois	1
U of North Texas	Bowling Green State U	1
U of Oklahoma	U of Maryland - College Park	2
U of Oklahoma	Arizona State U	11
U of Oklahoma	U of Southern California	1
U of Oklahoma	U of North Carolina	1
U of Oklahoma	Rutgers U	2
U of Oklahoma	Imperial College London	6
U of Oklahoma	Texas Christian U	1
U of Oklahoma	U of Texas - Arlington	1
U of Oklahoma	U of Maryland	4
U of Oklahoma	Syracuse U	2
U of Oklahoma	Pontificia U Católica de Chile	1
U of Oklahoma	U of California Santa Barbara	26
U of Oklahoma	National U of Singapore (NUS)	1
U of Oklahoma	U of Florida	15
U of Oklahoma	U of Arizona	34
U of Oklahoma	Salem State U	6
U of Oklahoma	The U of Oklahoma	12
U of Oklahoma	Pepperdine U	2
U of Oklahoma	Montclair State U	2
U of Oklahoma	U of Oklahoma	276
California State U Fresno	California State U Fresno	2
Orebro U	Orebro U	4
U of Puerto Rico at Arecibo	U of Puerto Rico at Arecibo	3
Eberhard Karls U Tuebingen	Eberhard Karls U Tuebingen	1
Eberhard Karls U Tuebingen	Augsburg U	1
Eberhard Karls U Tuebingen	U of Tuebingen	2
Portland State U	Portland State U	13
Portland State U	PVI	1
Portland State U	Cornell U	1
Portland State U	Community Health Councils	3
Portland State U	U of Southern California - Annenberg School for Communication	2
Buskerud and Vestfold U College	Buskerud and Vestfold U College	1
Buskerud and Vestfold U College	NTNU Trondheim	2
U Nacional Autonoma de Mexico	U Nacional Autonoma de Mexico	1
U of Central Oklahoma	U of Central Oklahoma	1
U of Central Oklahoma	U of Tennessee	1
USP	Tulane U	1
USP	USP	1
ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	1
ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	Queensland U of Technology	1
ASCoR / U of Amsterdam	ASCoR / U of Amsterdam	3
ASCoR / U of Amsterdam	ASCoR U of Amsterdam	1
ASCoR / U of Amsterdam	U of Amsterdam	5
U of California - Riverside	U of California Riverside	1
U of California - Riverside	Saint Vincent College	1
U of California - Riverside	New York U	1
U of California - Riverside	U of California - Riverside	7
Kyung Hee U	Multimedia U	1
Kyung Hee U	Kyung Hee U	1
Kyung Hee U	U of Pennsylvania	1
Kyung Hee U	Yeungnam U	1
U of Salamanca	U of Salamanca	1
U of Salamanca	Universidad del Norte	1
U of Rochester	U of Rochester	1
U of Rochester	School of Information	1
U of Rochester	U of Pennsylvania	1
U of Rochester	U of Michigan	2
National Chiao Tung U	Nanyang Technological U	1
National Chiao Tung U	National Chiao Tung U	18
National Chiao Tung U	Kent State U	1
National Chiao Tung U	Wuhan U	1
UNC-CH	UNC-CH	1
UNC-CH	U of North Georgia	1
Leeds Trinity U	Leeds Trinity U	1
Leeds Trinity U	City U	1
U di Perugia	U of Antwerp	2
U di Perugia	U of Salford	1
U di Perugia	U of Perugia	1
U di Perugia	U di Perugia	1
U de Navarra	U de Navarra	1
U de Navarra	U of Navarra	1
Internet Interdisciplinary Institute Open U of Catalonia	Internet Interdisciplinary Institute Open U of Catalonia	1
U of West Florida	U of West Florida	3
U Putra Malaysia	U of Putra Malaysia	2
U Putra Malaysia	U Putra Malaysia	4
Joan Ganz Cooney Center at Sesame Workshop	U of Kansas	2
Joan Ganz Cooney Center at Sesame Workshop	Joan Ganz Cooney Center at Sesame Workshop	4
Joan Ganz Cooney Center at Sesame Workshop	Vanderbilt U	4
Rutgers U - School of Communication and Information	Rutgers U - School of Communication and Information	1
Ars Electronica Futurelab	U Koblenz-Landau	1
Ars Electronica Futurelab	Ars Electronica Futurelab	1
Ars Electronica Futurelab	U of Osnabrueck	1
Ars Electronica Futurelab	U of Koblenz-Landau	2
European Communication Research and Education Association	U of Muenster	1
European Communication Research and Education Association	European Communication Research and Education Association	1
U of applied Science Hanzehogeschool Groningen	U of applied Science Hanzehogeschool Groningen	1
U of Illinois - Chicago	Northeastern U	1
U of Illinois - Chicago	U of Illinois - Chicago	2
U of Illinois - Chicago	George Washington U	2
Choongang U	Choongang U	1
Choongang U	U of Michigan	1
U of Massachusetts - Lowell	U of Massachusetts - Lowell	1
Oxford Internet Institute	Oxford Internet Institute	1
Lund U	Lund U	5
Lund U	Roskilde U	4
Lund U	U of Copenhagen	1
U Cattolica del Sacro Cuore	Universita' Cattolica del Sacro Cuore	3
U Cattolica del Sacro Cuore	U Cattolica del Sacro Cuore	2
Klein Buendel Inc.	San Diego State U	18
Klein Buendel Inc.	Ohio State U	4
Klein Buendel Inc.	U of Alabama	2
Klein Buendel Inc.	Klein Buendel Inc.	36
Klein Buendel Inc.	Mikonics	2
Agency for Science Technology and Research	Agency for Science Technology and Research	3
Agency for Science Technology and Research	U of Leicester	2
Agency for Science Technology and Research	U of the Philippines	3
National School of Political and Administrative Studies	California State U - San Bernardino	1
National School of Political and Administrative Studies	U of Amsterdam / ASCoR	1
National School of Political and Administrative Studies	U of Vienna	1
National School of Political and Administrative Studies	National School of Political and Administrative Studies	2
National School of Political and Administrative Studies	Educons U	1
North Dakota State U	U of Tennessee	1
North Dakota State U	North Dakota State U	37
North Dakota State U	West Virginia U	2
North Dakota State U	Western Michigan U	1
North Dakota State U	U of Connecticut	1
North Dakota State U	U of Kentucky	6
U of North Dakota	U of North Dakota	2
U of North Dakota	U of Antwerp	1
U of North Dakota	Erasmus U Rotterdam	1
U of North Dakota	U of Alabama	1
Imperial College London	Imperial College London	1
Imperial College London	U of California Santa Barbara	1
Imperial College London	U of Florida	1
Imperial College London	U of Arizona	2
Imperial College London	Salem State U	1
Imperial College London	U of Oklahoma	6
U Nova de Lisboa	U of Malta	1
U Nova de Lisboa	U Nova de Lisboa	1
Griffith U	Griffith U	4
Hallym U	Hallym U	9
Michigan State U	Texas Tech U	2
Michigan State U	U of Southern California - Annenberg School for Communication	1
Michigan State U	The Ohio State U	1
Michigan State U	The U of Texas at Austin	2
Michigan State U	Beijing Foreign Studies U	1
Michigan State U	U of Haifa	2
Michigan State U	Fors Marsh Group	4
Michigan State U	U of Wisconsin-Madison	3
Michigan State U	Indiana U	2
Michigan State U	U of South Carolina	1
Michigan State U	U of Georgia	1
Michigan State U	Pennsylvania State U	1
Michigan State U	U of Alabama - Birmingham	4
Michigan State U	George Washington U	5
Michigan State U	U of Memphis	2
Michigan State U	Florida International U	4
Michigan State U	U of Cologne	2
Michigan State U	Michigan State U	458
Michigan State U	Nanyang Technological U	3
Michigan State U	U of Miami	4
Michigan State U	U of Texas - Austin	7
Michigan State U	U of Alabama	3
Michigan State U	U of Tennessee	1
Michigan State U	Western Illinois U	5
Michigan State U	California State U - Long Beach	4
Michigan State U	Washington State U	4
Michigan State U	U of Iowa	4
Michigan State U	Ohio State U	2
California State U - Stanislaus	California State U - Stanislaus	1
California State U - Stanislaus	West Virgina U	1
Indiana U – Purdue U Fort Wayne	Indiana U – Purdue U Fort Wayne	9
U of Alabama - Huntsville	U of Alabama - Huntsville	2
U of Alabama - Huntsville	Louisiana State U	3
U of Chester	U of Chester	2
The U of Munster	U of Muenster	2
The U of Munster	U of Cologne	1
The U of Munster	The U of Munster	1
U of Duisburg-Essen	U of Duisburg-Essen	32
U of Duisburg-Essen	Pennsylvania State U	3
U of Duisburg-Essen	U of Duisburg - Essen	8
U of Duisburg-Essen	U Duisburg-Essen	7
Netherlands Youth Institute/Erasmus U Rotterdam	Netherlands Youth Institute/Erasmus U Rotterdam	1
Netherlands Youth Institute/Erasmus U Rotterdam	Amsterdam School of Communication Research	1
Netherlands Youth Institute/Erasmus U Rotterdam	Rutgers WPF	1
Netherlands Youth Institute/Erasmus U Rotterdam	U of Amsterdam	1
U of San Diego	UC Santa Barbara	1
U of San Diego	U of San Diego	4
U of San Diego	U of Kansas	1
Bangladesh Center for Communication Programs - BCCP	Bangladesh Center for Communication Programs - BCCP	1
Bangladesh Center for Communication Programs - BCCP	Bangladesh Center for Communication Programs	1
Bangladesh Center for Communication Programs - BCCP	BCCP - Bangladesh Center for Communication Programs	1
City U	Leeds Trinity U	1
City U	City U	1
U of Westminster - Communication and Media Research Institute	U of Westminster - Communication and Media Research Institute	1
U at Buffalo-SUNY	U at Buffalo-SUNY	2
U at Buffalo-SUNY	U of Buffalo - SUNY	4
U at Buffalo-SUNY	U at Buffalo	3
U of Technology Sydney	U of Technology Sydney	4
U of Neuchatel - Academy of Journalism and Media	Swinburne U	1
U of Neuchatel - Academy of Journalism and Media	U of Neuchatel - Academy of Journalism and Media	1
AIDS Help Inc.	Tulane U	1
AIDS Help Inc.	AIDS Help Inc.	1
AIDS Help Inc.	Camp Rehoboth	1
AIDS Help Inc.	Medical College of Wisconsin	1
AIDS Help Inc.	U of Denver	1
AIDS Help Inc.	U of Colorado - Denver	1
AIDS Help Inc.	Virginia Commonwealth U	3
AIDS Help Inc.	NO/AIDS Task Force	2
Tata Institute of Social Sciences	Tata Institute of Social Sciences	1
The Annenberg School for Communication U of Pennsylvania	The Annenberg School for Communication U of Pennsylvania	2
The Annenberg School for Communication U of Pennsylvania	Annenberg School for Communication U of Pennsylvania	2
The Annenberg School for Communication U of Pennsylvania	U of Pennsylvania	1
U of Missouri Columbia	U of Missouri Columbia	1
Keio U	Keio U	1
Keio U	Northwestern U	1
U of California Los Angeles	U of California - Los Angeles	2
U of California Los Angeles	U of California Los Angeles	10
U of California Los Angeles	U of Pennsylvania	16
U of California Los Angeles	U of Michigan	12
Trimbos Institute Netherlands Institute for Mental Health and Addiction	ASCoR U of Amsterdam	2
Trimbos Institute Netherlands Institute for Mental Health and Addiction	Trimbos Institute Netherlands Institute for Mental Health and Addiction	1
Trimbos Institute Netherlands Institute for Mental Health and Addiction	U of Amsterdam	2
U of Southern Denmark	U of Gothenburg	1
U of Southern Denmark	U of Southern Denmark Centre for Journalism	2
U of Southern Denmark	Roskilde U	2
U of Southern Denmark	Mid Sweden U	1
U of Southern Denmark	U of Southern Denmark	13
U of Arizona	Arizona State U	2
U of Arizona	Temple U	4
U of Arizona	U of Utah	2
U of Arizona	Northern Kentucky U	2
U of Arizona	Colorado State U	4
U of Arizona	1st Playable Productions	1
U of Arizona	U of Pennsylvania	3
U of Arizona	Vanderbilt U	1
U of Arizona	U of Georgia	2
U of Arizona	U of Connecticut	4
U of Arizona	U at Albany SUNY	1
U of Arizona	U of Missouri	2
U of Arizona	Imperial College London	2
U of Arizona	Syracuse U	1
U of Arizona	Eastern Michigan U	1
U of Arizona	George Mason U	2
U of Arizona	California State U - Long Beach	1
U of Arizona	U of California Santa Barbara	5
U of Arizona	U of Florida	4
U of Arizona	U of Arizona	91
U of Arizona	Salem State U	2
U of Arizona	The U of Oklahoma	2
U of Arizona	U of Oklahoma	34
U of Arizona	U at Albany - SUNY	1
Sogang U	U of Kansas	5
Sogang U	Sogang U	2
Sogang U	Bowling Green State U	2
U of Brasilia	U of Brasilia	1
Pennsylvania State U  and  Sungkyunkwan Univ	Robert Morris U	1
Pennsylvania State U  and  Sungkyunkwan Univ	Penn State U	3
Pennsylvania State U  and  Sungkyunkwan Univ	The Pennsylvania State U	1
Pennsylvania State U  and  Sungkyunkwan Univ	Pennsylvania State U  and  Sungkyunkwan Univ	5
Pennsylvania State U  and  Sungkyunkwan Univ	Pennsylvania State U	2
U of Graz	U of Graz	2
Hong Kong Baptist U	Hong Kong Baptist U	38
Hong Kong Baptist U	U of Illinois at Urbana–Champaign	1
Hong Kong Baptist U	The Chinese U of Hong Kong	1
Hong Kong Baptist U	U of Hong Kong	2
Hong Kong Baptist U	City U of Hong Kong	11
Hong Kong Baptist U	Northwestern U	1
Michigan State	Michigan State	1
U of Navarra	U de Navarra	1
U of Navarra	U of Navarra	2
U of Navarra	Florida State U	1
U Autónoma del Estado de Morelos	U Autónoma del Estado de Morelos	1
U Autónoma del Estado de Morelos	Universidad AutÃ³noma de QuerÃ©taro	1
Hamad Medical Corporation	Memorial Sloan-Kettering Cancer Center	8
Hamad Medical Corporation	Hamad Medical Corporation	1
U of Texas - Arlington	Pontificia U Católica de Chile	1
U of Texas - Arlington	U of Texas - Arlington	1
U of Texas - Arlington	U of Oklahoma	1
U of Music Drama and Media (Department of Journalism and Communication Research)	U of Bielefeld	1
U of Music Drama and Media (Department of Journalism and Communication Research)	U of Music Drama and Media (Department of Journalism and Communication Research)	1
U of Music Drama and Media (Department of Journalism and Communication Research)	U of Freiburg	1
Lake Superior State U	Lake Superior State U	1
U of Illinois Urbana Champaign	U of Texas - El Paso	1
U of Illinois Urbana Champaign	U of Illinois at Urbana–Champaign	2
U of Illinois Urbana Champaign	Northwestern U	1
U of Illinois Urbana Champaign	California State U Los Angeles	1
U of Illinois Urbana Champaign	U of Illinois Urbana Champaign	3
U of Illinois Urbana Champaign	U of Illinois	1
U of Illinois Urbana Champaign	U of Illinois at Urbana-Champaign	1
U of Bremen	U of Bremen	2
U of Bremen	U of Bremen/ U of Goldsmiths	1
Claflin U	Claflin U	1
Claflin U	Towson U	1
Midlands Technical College	Midlands Technical College	1
Midlands Technical College	U of Southern California	1
Midlands Technical College	U of South Carolina	2
Beijing Foreign Studies U	The Ohio State U	1
Beijing Foreign Studies U	Michigan State U	1
Beijing Foreign Studies U	Ohio State U	1
Beijing Foreign Studies U	Beijing Foreign Studies U	1
Queen Margaret U	Queen Margaret U	1
U of Michigan	The U of Michigan	1
U of Michigan	School of Information	11
U of Michigan	U of Pennsylvania	36
U of Michigan	Rutgers U	3
U of Michigan	U of Michigan Ann Arbor	1
U of Michigan	City U of Hong Kong	2
U of Michigan	New Jersey Institute of Technology	1
U of Michigan	Choongang U	1
U of Michigan	U of Wisconsin-Madison	1
U of Michigan	Indiana U	1
U of Michigan	U of Rochester	2
U of Michigan	U of California Los Angeles	12
U of Michigan	Northern Kentucky U	4
U of Michigan	U of Michigan Psychology Dept.	4
U of Michigan	Western Washington U	2
U of Michigan	U of Michigan	99
UIC	UIC	2
UIC	Simon Fraser U	1
Jyvaskyla	Jyvaskyla	1
Jyvaskyla	U of Jyvaskyla	3
Korea U	West Virginia U	1
Korea U	Korea U	3
Korea U	Northern Kentucky U	2
Korea U	Hongik U	1
Bar-Ilan U	Bar-Ilan U.	1
Bar-Ilan U	Bar-Ilan U	11
Iona College	Iona College	2
Iona College	U of Wisconsin-Madison	12
Iona College	U of Wisconsin - Madison	2
Indiana U of Pennsylvania	Indiana U Pennsylvania	2
Indiana U of Pennsylvania	Indiana U of Pennsylvania	5
Technische Universitaet Chemnitz / HIIG	Tübingen U	1
Technische Universitaet Chemnitz / HIIG	Technische U Chemnitz	3
Technische Universitaet Chemnitz / HIIG	Humboldt U Berlin	1
Technische Universitaet Chemnitz / HIIG	Technische Universitaet Chemnitz / HIIG	2
U de Guadalajara	U de Guadalajara	1
Indiana U	U of Texas	6
Indiana U	The U of Michigan	1
Indiana U	U of Pennsylvania	2
Indiana U	U of Minnesota Twin Cities	1
Indiana U	KU Leuven	1
Indiana U	Northwestern U	1
Indiana U	U of North Carolina - Chapel Hill	5
Indiana U	Michigan State U	2
Indiana U	Radboud U Nijmegen	3
Indiana U	Indiana U	144
Indiana U	Catholic U - Leuven	1
Indiana U	Indiana U Bloomington	1
Indiana U	Universitat Pompeu Fabra/ Institute for Communication Research Indiana U	1
Indiana U	U of Michigan	1
Columbia U	U of Texas	2
Columbia U	Columbia U	5
Columbia U	U of Washington	2
Media and Communication	U Diego Portales	1
Media and Communication	Media and Communication	1
Barry U	Barry U	1
Iowa State U	UMass Boston	1
Iowa State U	U of Wyoming	1
Iowa State U	Nielsen Korea	1
Iowa State U	Nanyang Technological U	2
Iowa State U	Iowa State U	10
Iowa State U	Seoul National U	2
Iowa State U	U of Iowa	1
U of Georgia	Emory U	39
U of Georgia	West Virginia U	1
U of Georgia	Boston College	2
U of Georgia	U of Tennessee	6
U of Georgia	Spelman College	13
U of Georgia	U of Southern California - Annenberg School for Communication	1
U of Georgia	Morehouse U	13
U of Georgia	Temple U	2
U of Georgia	U of Maryland	1
U of Georgia	Michigan State U	1
U of Georgia	U of Arizona	2
U of Georgia	U of California San Francisco	1
U of Georgia	Northern Kentucky U	2
U of Georgia	U of Georgia	119
U of Georgia	Pennsylvania State U	3
U of Georgia	Edelman	3
U of Georgia	U of California - San Francisco	1
U of Georgia	Virginia Commonwealth U	1
U of Georgia	Highpoint U	1
U of Georgia	U of Texas - Austin	1
U of Barcelona	U of Southampton	1
U of Barcelona	U of Amsterdam	1
U of Barcelona	U of Antwerp	1
U of Barcelona	U of Mannheim	1
U of Barcelona	Aarhus U	1
U of Barcelona	U of Barcelona	1
U of Barcelona	U of Geneva	2
U of Barcelona	U of North Carolina - Chapel Hill	1
U of Southern Mississippi	U of Southern Mississippi	1
U of Southern Mississippi	The U of Southern Mississippi	1
Autonomous U of Baja California	Autonomous U of Baja California Mexicali	2
Autonomous U of Baja California	Autonomous U of Baja California	4
U of Wollongong	Deakin U	1
U of Wollongong	U of Canberra	1
U of Wollongong	U of Wollongong	1
Georgia Regents U	U of Central Florida	1
Georgia Regents U	Georgia Regents U	1
Institute of Policy Studies Singapore	Institute of Policy Studies Singapore	1
Institute of Policy Studies Singapore	National U of Singapore	1
Loyola U	Loyola U	1
City U of New York	City U of New York	1
U del Norte	U del Norte	1
Department of Language and Communication	Radboud U Nijmegen	1
Department of Language and Communication	VU U Amsterdam	1
Department of Language and Communication	Department of Language and Communication	1
Loyola Marymount U	Loyola Marymount U	1
U Libre de Bruxelles	U Libre de Bruxelles	1
U Libre de Bruxelles	U de Málaga	1
U Libre de Bruxelles	U Ramon Llull	1
Asociacion de Comunicacion Politica	Asociacion de Comunicacion Politica	1
Hebrew U - Mt. Scopus	U Lusófona	1
Hebrew U - Mt. Scopus	Lusofona U	1
Hebrew U - Mt. Scopus	Hebrew U - Mt. Scopus	1
Hebrew U - Mt. Scopus	College of Management Academic Studies	1
Hebrew U - Mt. Scopus	Ben-Gurion U of the Negev	1
Missouri	U of Missouri	2
Missouri	Missouri School of Journalism	1
Missouri	American U	1
Missouri	Missouri	2
School of Information	New Jersey Institute of Technology	1
School of Information	U of Rochester	1
School of Information	School of Information	5
School of Information	U of Pennsylvania	2
School of Information	U of Michigan	11
U of Michigan Psychology Dept.	U of Michigan Psychology Dept.	4
U of Michigan Psychology Dept.	U of North Carolina at Chapel Hill	1
U of Michigan Psychology Dept.	Western Washington U	2
U of Michigan Psychology Dept.	U of Michigan	4
U of Chicago	Stanford U	2
U of Chicago	Northeastern U	6
U of Chicago	Jefferson Hoye LLC	1
U of Chicago	U of Chicago	2
U of Missouri-Columbia	U of Missouri	3
U of Missouri-Columbia	U of Missouri-Columbia	1
U of Leuven	U of Leuven  - School for Mass Communication Research	2
U of Leuven	KU Leuven	7
U of Leuven	U of Leuven - School for Mass Communication Research	6
U of Leuven	Ghent U	15
U of Leuven	ASCoR - U of Amsterdam	1
U of Leuven	Purdue U	1
U of Leuven	Catholic U - Leuven	4
U of Leuven	U of Leuven	23
U of Texas - Austin	U of California - Santa Barbara	3
U of Texas - Austin	U of Utah	1
U of Texas - Austin	The U of Texas at Austin	7
U of Texas - Austin	VU U Amsterdam	2
U of Texas - Austin	U of Minho	1
U of Texas - Austin	Boston U	1
U of Texas - Austin	U of Haifa	1
U of Texas - Austin	School of Sustainability IDC	2
U of Texas - Austin	U Municipal de Sao Caetano do Sul	5
U of Texas - Austin	Univ. of Texas at Austin	3
U of Texas - Austin	U of Bremen Centre for Media Communication and Information Research (ZeMKI)	1
U of Texas - Austin	Texas State U	3
U of Texas - Austin	U of Texas - Brownsville	1
U of Texas - Austin	U of Georgia	1
U of Texas - Austin	U of Texas	5
U of Texas - Austin	Rutgers U	1
U of Texas - Austin	UNESP-Faculdade de Filosofia e Letras	1
U of Texas - Austin	U of Erfurt	2
U of Texas - Austin	Michigan State U	7
U of Texas - Austin	Nanyang Technological U	1
U of Texas - Austin	U of Texas - Dallas	2
U of Texas - Austin	U of Minnesota	1
U of Texas - Austin	U of Texas - Austin	163
U of Texas - Austin	U of Buffalo - SUNY	1
U of Texas - Austin	U of Texas at Austin	18
U of Texas - Austin	U of Amsterdam	1
U of Texas - Austin	Ohio U	1
U of Arkansas	U of Arkansas	1
Zhejiang U	Zhejiang U	3
U of Tennessee	Michigan State U	1
U of Tennessee	U of Tennessee	40
U of Tennessee	North Dakota State U	1
U of Tennessee	U of Central Oklahoma	1
U of Tennessee	Murray State U	1
U of Tennessee	Clemson U	1
U of Tennessee	Tennessee Technological U	1
U of Tennessee	Western Michigan U	1
U of Tennessee	U of Oslo	1
U of Tennessee	Aarhus U	1
U of Tennessee	U of Florida	2
U of Tennessee	U of Georgia	6
U of Tennessee	U of Connecticut	1
U of Tennessee	U of Houston	3
U of Tennessee	U of Kentucky	3
U of Tennessee	BSS - Aarhus U	1
U del Turabo	U del Turabo	1
U de los Andes	U de los Andes	1
Georgian Institute of Public Affairs	U of South Carolina	2
Georgian Institute of Public Affairs	Georgian Institute of Public Affairs	5
Fudan U	Fudan U	1
Fudan U	U of Texas at Austin	1
Univ of MO	Univ of MO	2
Higher School of Economics	Higher School of Economics	1
U of the Federal German Army	LMU Munich	2
U of the Federal German Army	U of the Federal German Army	1
U of Wisconsin - Parkside	U of Wisconsin - Parkside	1
Auckland U of Technology	Auckland U of Technology	1
U of Texas - San Antonio	U of Texas - San Antonio	2
U de Manizales	U de Costa Rica	1
U de Manizales	U de Manizales	1
Boston Children's Hospital	Boston Children's Hospital Harvard U	1
Boston Children's Hospital	Center on Media and Child Health	4
Boston Children's Hospital	U of Utrecht	2
Boston Children's Hospital	Boston Children's Hospital	4
Boston Children's Hospital	Utrecht U	6
U of Groningen	Bournemouth U	1
U of Groningen	Leiden U	1
U of Groningen	U of Melbourne	1
U of Groningen	VU U Amsterdam	2
U of Groningen	U of Groningen	2
Dalhousie U	Dalhousie U	9
Dalhousie U	Ramapo College of New Jersey	3
U du Quebec a Montreal	U du Quebec a Montreal	1
Universitat Pompeu Fabra/ Institute for Communication Research Indiana U	Indiana U	1
Universitat Pompeu Fabra/ Institute for Communication Research Indiana U	Universitat Pompeu Fabra/ Institute for Communication Research Indiana U	1
International Assocation for Media and Communication Research	International Assocation for Media and Communication Research	2
College of Staten Island - CUNY	College of Staten Island - CUNY	2
California State U - Los Angeles	California State U - Los Angeles	2
Bloomsburg U of Pennsylvania	Bloomsburg U of Pennsylvania	3
NTNU Trondheim	Buskerud and Vestfold U College	2
NTNU Trondheim	NTNU Trondheim	4
VU Amsterdam	VU U Amsterdam	2
VU Amsterdam	VU Amsterdam	1
The George Washington U	The George Washington U	1
Sejong U	Sejong U	1
Sejong U	Bowling Green State U	6
Tennessee Technological U	Tennessee Technological U	1
Tennessee Technological U	U of Tennessee	1
Young Harris College	U of Louisiana at Monroe	1
Young Harris College	Young Harris College	1
Young Harris College	Louisiana State U	1
